Time	Air Flow	Lung Volume	Comp Ch 2
0.975	0.0390896	-8.58364e-05	-0.000180261
0.98	0.0390261	-8.67386e-05	-0.000189809
0.985	0.0389735	-8.76871e-05	-0.000199381
0.99	0.0389332	-8.8683e-05	-0.000209083
0.995	0.0389052	-8.97281e-05	-0.000218724
1	0.0388922	-9.08232e-05	-0.000227819
1.005	0.0388957	-9.19663e-05	-0.000235655
1.01	0.0389109	-9.31515e-05	-0.000241429
1.015	0.0389326	-9.43685e-05	-0.000244431
1.02	0.0389571	-9.56021e-05	-0.000244255
1.025	0.0389808	-9.68347e-05	-0.0002409
1.03	0.0390019	-9.80488e-05	-0.000234723
1.035	0.0390207	-9.923e-05	-0.000226278
1.04	0.0390397	-0.000100367	-0.000216132
1.045	0.0390608	-0.000101451	-0.000204778
1.05	0.0390854	-0.000102478	-0.000192638
1.055	0.0391167	-0.000103442	-0.000180127
1.06	0.0391547	-0.000104343	-0.000167661
1.065	0.039198	-0.000105179	-0.000155591
1.07	0.0392402	-0.000105955	-0.000144098
1.075	0.0392742	-0.000106673	-0.000133175
1.08	0.0392962	-0.000107338	-0.000122727
1.085	0.0393014	-0.00010795	-0.000112737
1.09	0.039288	-0.000108512	-0.000103415
1.095	0.0392598	-0.000109026	-9.52504e-05
1.1	0.0392223	-0.000109496	-8.89323e-05
1.105	0.0391826	-0.000109932	-8.5207e-05
1.11	0.0391472	-0.000110347	-8.47342e-05
1.115	0.0391186	-0.000110758	-8.80281e-05
1.12	0.0390971	-0.000111184	-9.54121e-05
1.125	0.0390835	-0.000111647	-0.000106989
1.13	0.0390782	-0.000112168	-0.00012259
1.135	0.039082	-0.000112768	-0.000141721
1.14	0.0390944	-0.000113467	-0.000163547
1.145	0.0391124	-0.000114279	-0.000186944
1.15	0.039132	-0.000115213	-0.000210659
1.155	0.0391467	-0.00011627	-0.000233519
1.16	0.0391511	-0.000117444	-0.000254593
1.165	0.0391424	-0.000118725	-0.000273221
1.17	0.0391231	-0.000120101	-0.000288972
1.175	0.0390981	-0.000121557	-0.000301587
1.18	0.0390707	-0.000123076	-0.000310958
1.185	0.0390454	-0.000124642	-0.000317122
1.19	0.0390235	-0.000126238	-0.000320226
1.195	0.0390018	-0.000127848	-0.00032048
1.2	0.0389794	-0.000129459	-0.000318074
1.205	0.0389574	-0.000131058	-0.000313052
1.21	0.0389369	-0.000132632	-0.000305246
1.215	0.0389203	-0.000134169	-0.000294314
1.22	0.0389085	-0.000135652	-0.000279908
1.225	0.0389008	-0.000137064	-0.00026176
1.23	0.0388998	-0.000138386	-0.000239698
1.235	0.0389087	-0.000139598	-0.000213629
1.24	0.0389286	-0.00014068	-0.000183602
1.245	0.0389576	-0.000141611	-0.000149856
1.25	0.0389929	-0.000142371	-0.000112782
1.255	0.0390341	-0.000142945	0.00311566
1.26	0.0390808	-0.000143317	0.0063472
1.265	0.0391318	-0.000143476	0.00958194
1.27	0.0391857	7.07525e-08	0.00644304
1.275	0.0392438	3.96293e-07	0.00330633
1.28	0.0393061	9.83022e-07	0.000170983
1.285	0.0393649	1.83558e-06	0.00022469
1.29	0.0394127	2.95752e-06	0.000278792
1.295	0.0394519	4.35121e-06	0.000332888
1.3	0.039488	6.01724e-06	0.000386491
1.305	0.039523	7.9533e-06	0.000439052
1.31	0.0395556	1.01538e-05	0.000489973
1.315	0.039583	1.2611e-05	0.000538502
1.32	0.0396043	1.53143e-05	0.000583673
1.325	0.0396182	1.82477e-05	0.000624311
1.33	0.0396247	2.13886e-05	0.000659143
1.335	0.0396268	2.47081e-05	0.000686982
1.34	0.0396274	2.81704e-05	0.000707042
1.345	0.0396282	3.17335e-05	0.000719184
1.35	0.0396302	3.53546e-05	0.000723891
1.355	0.0396355	3.89958e-05	0.000721947
1.36	0.0396461	4.26249e-05	0.000714076
1.365	0.0396596	4.6213e-05	0.000700809
1.37	0.0396735	4.97337e-05	0.000682499
1.375	0.039688	5.31621e-05	0.000659424
1.38	0.0397003	5.64743e-05	0.000631836
1.385	0.0397037	5.96477e-05	0.000600005
1.39	0.0396935	6.26608e-05	0.000564179
1.395	0.0396694	6.54942e-05	0.0005245
1.4	0.0396304	6.81293e-05	0.000480971
1.405	0.0395789	7.05474e-05	0.000433473
1.41	0.0395218	7.27285e-05	0.000381862
1.415	0.0394672	7.46521e-05	0.000326049
1.42	0.0394189	7.62966e-05	0.00026612
1.425	0.0393772	7.76404e-05	0.000202452
1.43	0.0393407	7.86632e-05	0.00013578
1.435	0.0393054	7.9349e-05	6.78242e-05
1.44	0.0392687	7.96871e-05	3.92255e-07
1.445	0.0392283	7.96742e-05	-6.48744e-05
1.45	0.0391843	7.93434e-05	-0.00012804
1.455	0.039138	7.86995e-05	-0.000189447
1.46	0.0390901	7.77481e-05	-0.000249514
1.465	0.0390398	7.64953e-05	-0.000307865
1.47	0.0389867	7.49485e-05	-0.00036398
1.475	0.0389326	7.31191e-05	-0.000417246
1.48	0.0388801	7.10213e-05	-0.000467029
1.485	0.038832	6.86724e-05	-0.000512702
1.49	0.0387905	6.60931e-05	-0.000553695
1.495	0.038761	6.33072e-05	-0.00058956
1.5	0.0387469	6.0341e-05	-0.000620065
1.505	0.0387459	5.72224e-05	-0.00064525
1.51	0.038752	5.39791e-05	-0.000665465
1.515	0.0387562	5.06368e-05	-0.000681333
1.52	0.0387489	4.72184e-05	-0.00069364
1.525	0.0387275	4.37413e-05	-0.000703148
1.53	0.0386991	4.02186e-05	-0.000710456
1.535	0.0386755	3.66606e-05	-0.000715932
1.54	0.0386637	3.30757e-05	-0.000719735
1.545	0.0386671	2.94715e-05	-0.000721911
1.55	0.0386875	2.58564e-05	-0.000722551
1.555	0.038722	2.22389e-05	-0.000721943
1.56	0.0387657	1.86265e-05	-0.000720583
1.565	0.0388125	1.50233e-05	-0.000719004
1.57	0.0388546	1.14295e-05	-0.000717498
1.575	0.0388883	7.84272e-06	-0.000715937
1.58	0.0389099	4.26136e-06	-0.000713834
1.585	0.0389144	6.87878e-07	-0.000710668
