Time	Air Flow	Lung Volume	Comp Ch 2
1.13	0.0390354	0.000158347	0.000315362
1.135	0.0390286	0.000159916	0.000331985
1.14	0.0390197	0.000161568	0.000351066
1.145	0.039009	0.000163315	0.00037234
1.15	0.0389985	0.00016517	0.000395262
1.155	0.0389939	0.000167144	0.000418987
1.16	0.0389998	0.00016924	0.000442557
1.165	0.0390161	0.000171456	0.000465202
1.17	0.0390384	0.000173787	0.000486436
1.175	0.0390619	0.000176225	0.000506064
1.18	0.0390836	0.000178761	0.000524097
1.185	0.0391038	0.000181387	0.000540714
1.19	0.0391263	0.000184094	0.000556196
1.195	0.0391545	0.000186877	0.000570872
1.2	0.0391901	0.000189734	0.000585066
1.205	0.0392333	0.000192659	0.000599046
1.21	0.0392804	0.000195654	0.000612872
1.215	0.0393208	0.000198719	0.000626217
1.22	0.0393442	0.000201854	0.00063829
1.225	0.0393485	0.000205053	0.000647975
1.23	0.039339	0.000208305	0.000654125
1.235	0.0393224	0.000211592	0.000655815
1.24	0.0393026	0.000214888	0.000652487
1.245	0.0392811	0.000218168	0.000643942
1.25	0.0392604	0.000221406	0.000630248
1.255	0.039242	0.000224573	0.000611638
1.26	0.0392246	0.000227647	0.00058846
1.265	0.0392087	0.000230603	0.000561202
1.27	0.0391961	0.000233421	0.000530617
1.275	0.039188	0.000236082	0.000497747
1.28	0.0391827	0.000238574	0.000463793
1.285	0.0391749	0.000240892	0.000429801
1.29	0.039159	0.000243038	0.000396427
1.295	0.0391308	0.000245017	0.000363945
1.3	0.0390896	0.000246834	0.000332464
1.305	0.0390395	0.000248493	0.000302122
1.31	0.0389871	0.000249999	0.000273122
1.315	0.0389386	0.000251359	0.000245685
1.32	0.0388994	0.000252582	0.000220008
1.325	0.0388727	0.000253675	0.000196311
1.33	0.0388586	0.00025465	0.000174895
1.335	0.0388561	0.000255515	0.00015615
1.34	0.0388628	0.000256285	0.000140485
1.345	0.0388735	0.000256976	0.000128264
1.35	0.0388826	0.000257605	0.000119785
1.355	0.0388864	0.000258191	0.000115352
1.36	0.0388831	0.000258753	0.000115281
1.365	0.038875	0.000259314	0.000119919
1.37	0.0388677	0.000259896	0.000129555
1.375	0.0388657	0.000260526	0.000144323
1.38	0.0388691	0.000261231	0.000164076
1.385	0.0388756	0.000262036	0.00018832
1.39	0.0388852	0.000262965	0.000216226
1.395	0.0389021	0.000264037	0.000246767
1.4	0.0389299	0.000265266	0.000278903
1.405	0.0389675	0.000266658	0.000311798
1.41	0.0390073	0.000268217	0.000344967
1.415	0.0390418	0.000269942	0.00037828
1.42	0.0390675	0.000271833	0.000411814
1.425	0.0390854	0.00027389	0.000445584
1.43	0.0390991	0.000276118	0.000479416
1.435	0.0391156	0.000278516	0.000513051
1.44	0.0391394	0.000281083	0.000546432
1.445	0.0391715	0.000283815	0.000579904
1.45	0.0392088	0.000286712	0.00061415
1.455	0.0392466	0.000289778	0.000649922
1.46	0.0392803	0.00029302	0.000687793
1.465	0.0393061	0.00029645	0.000728051
1.47	0.0393232	0.000300082	0.000770732
1.475	0.0393323	0.000303928	0.000815634
1.48	0.0393351	0.000308	0.000862301
1.485	0.0393355	0.000312307	0.000909956
1.49	0.0393343	0.000316857	0.00095742
1.495	0.0393303	0.000321649	0.00100317
1.5	0.0393231	0.000326677	0.00104549
1.505	0.0393172	0.000331922	0.00108284
1.51	0.0393206	0.000337357	0.00111415
1.515	0.0393405	0.000342951	0.00113905
1.52	0.0393811	0.000348667	0.00115789
1.525	0.0394405	0.000354474	0.0011716
1.53	0.0395122	0.000360345	0.00118131
1.535	0.0395866	0.000366261	0.00118809
1.54	0.0396535	0.000372208	0.00119274
1.545	0.0397059	0.000378177	0.00119577
1.55	0.0397406	0.00038416	0.00119754
1.555	0.0397565	0.000390151	0.00119825
1.56	0.0397523	0.000396145	0.00119786
1.565	0.0397278	0.000402138	0.00119593
1.57	0.0396877	0.000408126	0.00119153
1.575	0.0396364	0.000414096	0.00118338
1.58	0.0395795	0.00042003	0.0011702
1.585	0.039525	0.000425902	0.00115103
1.59	0.0394794	0.00043168	0.00112554
1.595	0.0394444	0.000437328	0.00109401
1.6	0.0394169	0.000442816	0.00105721
1.605	0.039394	0.000448117	0.00101614
1.61	0.039374	0.000453208	0.0009719
1.615	0.0393559	0.000458074	0.0009256
1.62	0.0393388	0.000462705	0.000878237
1.625	0.0393212	0.000467097	0.000830584
1.63	0.0393002	0.000471249	0.000783082
1.635	0.0392743	0.000475163	0.000735885
1.64	0.0392441	0.000478841	0.000688961
1.645	0.0392125	0.000482285	0.000642253
1.65	0.0391841	0.000485496	0.000595832
