Time	Air Flow	Lung Volume	Comp Ch 2
0.835	0.0392956	-0.00162099	-0.00030387
0.84	0.0393566	-0.00162247	-0.000230347
0.845	0.0394135	-0.00162359	-0.000167162
0.85	0.0394642	-0.00162439	-0.000113559
0.855	0.0395041	-0.00162493	0.0360508
0.86	0.0395269	-0.00162525	0.0722073
0.865	0.0395297	-0.00162538	0.108356
0.87	0.0395151	9.25322e-09	0.0722589
0.875	0.0394873	1.35082e-07	0.036154
0.88	0.0394463	3.3473e-07	4.14277e-05
0.885	0.0393927	5.66299e-07	4.12336e-05
0.89	0.0393317	7.9288e-07	3.48447e-05
0.895	0.0392728	9.84134e-07	2.33823e-05
0.9	0.0392248	1.11461e-06	7.98995e-06
0.905	0.0391933	1.16318e-06	-1.02729e-05
0.91	0.0391782	1.11773e-06	-3.05704e-05
0.915	0.0391755	9.7026e-07	-5.22867e-05
0.92	0.0391804	7.11647e-07	-7.48606e-05
0.925	0.0391859	3.37942e-07	-9.78299e-05
0.93	0.0391869	-1.51321e-07	-0.000120922
0.935	0.0391825	-7.55708e-07	-0.000144106
0.94	0.0391713	-1.47547e-06	-0.000167415
0.945	0.0391556	-2.31203e-06	-0.000190794
0.95	0.0391422	-3.26636e-06	-0.000214125
0.955	0.0391341	-4.33777e-06	-0.000237336
0.96	0.039131	-5.52481e-06	-0.000260482
0.965	0.039135	-6.82688e-06	-0.00028365
0.97	0.0391459	-8.2446e-06	-0.000306771
0.975	0.0391587	-9.77916e-06	-0.000329447
0.98	0.0391714	-1.14299e-05	-0.000350879
0.985	0.0391823	-1.31919e-05	-0.000369953
0.99	0.0391838	-1.50539e-05	-0.000385404
0.995	0.0391705	-1.69975e-05	-0.000396078
1	0.0391418	-1.89975e-05	-0.000401213
1.005	0.0390967	-2.1024e-05	-0.000400696
1.01	0.03904	-2.30453e-05	-0.000395129
1.015	0.0389813	-2.50342e-05	-0.00038569
1.02	0.0389265	-2.69707e-05	-0.000373875
1.025	0.0388805	-2.88426e-05	-0.000361272
1.03	0.038847	-3.06462e-05	-0.000349391
1.035	0.0388283	-3.23858e-05	-0.000339538
1.04	0.0388276	-3.40729e-05	-0.000332679
1.045	0.0388475	-3.57235e-05	-0.000329376
1.05	0.0388865	-3.73575e-05	-0.00032979
1.055	0.0389427	-3.89944e-05	-0.000333867
1.06	0.0390133	-4.06521e-05	-0.000341548
1.065	0.0390923	-4.23478e-05	-0.000352943
1.07	0.0391709	-4.40995e-05	-0.000368323
1.075	0.0392391	-4.59265e-05	-0.000388014
1.08	0.0392911	-4.78509e-05	-0.000412202
